序号,企业名称,企业编号,建筑物名称,建筑物编号,车间名称,车间编号,工艺名称,工艺编号,采样点名称,采样点编号,最小值,最大值,低低设,低设,高设,高高设,类别,描述,x坐标,y坐标,高度,宽度,单位,测点
1,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,LI_604A 硅氮半成品,q0032p0001,0,100,0,10,80,100,工艺点位,,175,585,,,%,tag1
2,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,LI_604B 硅氮半成品,q0032p0002,0,100,0,10,80,100,工艺点位,,305,585,,,%,tag1
3,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,LI-604C 七甲半成品,q0032p0003,0,100,0,10,80,100,工艺点位,,450,585,,,%,tag1
4,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,LI-605 七甲半成品,q0032p0004,0,100,0,10,80,100,工艺点位,,592,585,,,%,tag1
5,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,LI-606A 硅氮半成品,q0032p0005,0,100,0,10,80,100,工艺点位,,720,585,,,%,tag1
6,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,LI-606B 硅氮半成品,q0032p0006,0,100,0,10,80,100,工艺点位,,852,585,,,%,tag1
7,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,LI-606C 硅氮半成品,q0032p0007,0,100,0,10,80,100,工艺点位,,989,585,,,%,tag1
8,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,LI-607A 三车间半成品,q0032p0008,0,100,0,10,80,100,工艺点位,,1124,585,,,%,tag1
9,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,LI-607B 三车间半成品,q0032p0009,0,100,0,10,80,100,工艺点位,,1262,600,,,%,tag1
10,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,LI-608A 二乙氧成品,q0032p0010,0,100,0,10,80,100,工艺点位,,1398,600,,,%,tag1
11,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,LI-608B 二乙氧成品,q0032p0011,0,100,0,10,80,100,工艺点位,,1530,600,,,%,tag1
12,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,LI-610A 硅醚成品,q0032p0012,0,100,0,10,80,100,工艺点位,,175,305,,,%,tag1
13,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,LI-610B 硅醚成品,q0032p0013,0,100,0,10,80,100,工艺点位,,305,305,,,%,tag1
14,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,LI-610C 硅醚成品,q0032p0014,0,100,0,10,80,100,工艺点位,,450,305,,,%,tag1
15,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,LI-611 硅醚,q0032p0015,0,100,0,10,80,100,工艺点位,,592,255,,,%,tag1
16,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,LI-612 二硅烷半成品,q0032p0016,0,100,0,10,80,100,工艺点位,,720,285,,,%,tag1
17,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,LI-613 预留,q0032p0017,0,100,0,10,80,100,工艺点位,,852,305,,,%,tag1
18,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,LI-615 液碱,q0032p0018,0,100,0,10,80,100,工艺点位,,1124,305,,,%,tag1
19,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,LI-616 乙醇,q0032p0019,0,100,0,10,80,100,工艺点位,,1262,305,,,%,tag1
20,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,LI-617 二硅烷成品,q0032p0020,0,100,0,10,80,100,工艺点位,,1398,305,,,%,tag1
21,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组3,q0032b0015,危险品罐组3（一厂区）,q0032w0015,罐组3,q0032s0008,LI_618 硅氮前馏,q0032p0021,0,100,0,10,80,100,工艺点位,,1530,305,,,%,tag1
22,新亚强硅化学股份有限公司（一厂）,q0032,危险品罐组1,q0032b0013,危险品罐组1（一厂区）,q0032w0013,,,LI-802B 四甲基硅氮成品,q0032p0023,0,100,0,10,80,100,重点化学品点位,,308,195,,,%,tag1
