序号,企业名称,企业编号,建筑物名称,建筑物编号,车间名称,车间编号,工艺名称,工艺编号,采样点名称,采样点编号,最小值,最大值,低低设,低设,高设,高高设,类别,描述,x坐标,y坐标,高度,宽度,单位,测点
1,新亚强硅化学股份有限公司（二厂）,q0083,罐组1（二厂区）,q0083b0012,罐组1,q0083w0012,罐区工艺1,q0083s0005,一次联苯,q0083p0001,0,4700,0,500,3800,4000,工艺点位,,300,380,,,mm,
2,新亚强硅化学股份有限公司（二厂）,q0083,罐组1（二厂区）,q0083b0012,罐组1,q0083w0012,罐区工艺1,q0083s0005,低沸联苯,q0083p0002,0,4700,0,500,3800,4000,工艺点位,,512,530,,,mm,
3,新亚强硅化学股份有限公司（二厂）,q0083,罐组1（二厂区）,q0083b0012,罐组1,q0083w0012,罐区工艺1,q0083s0005,一苯脱色前,q0083p0003,0,4700,0,500,3800,4000,工艺点位,,726,380,,,mm,
4,新亚强硅化学股份有限公司（二厂）,q0083,罐组1（二厂区）,q0083b0012,罐组1,q0083w0012,罐区工艺1,q0083s0005,待脱高料,q0083p0004,0,4700,0,500,3800,4000,工艺点位,,947,380,,,mm,
5,新亚强硅化学股份有限公司（二厂）,q0083,罐组1（二厂区）,q0083b0012,罐组1,q0083w0012,罐区工艺1,q0083s0005,二苯精制前,q0083p0005,0,4700,0,500,3800,4000,工艺点位,,1160,430,,,mm,
6,新亚强硅化学股份有限公司（二厂）,q0083,罐组1（二厂区）,q0083b0012,罐组1,q0083w0012,罐区工艺1,q0083s0005,苯,q0083p0006,0,4700,0,500,3800,4000,工艺点位,,1370,380,,,mm,
7,新亚强硅化学股份有限公司（二厂）,q0083,罐组3（二厂区）,q0083b0014,罐组3,q0083w0014,罐区工艺3,q0083s0007,待精馏高沸,q0083p0007,0,4700,0,500,3800,4000,工艺点位,,338,470,,,mm,
8,新亚强硅化学股份有限公司（二厂）,q0083,罐组3（二厂区）,q0083b0014,罐组3,q0083w0014,罐区工艺3,q0083s0007,待精馏高沸,q0083p0008,0,4700,0,500,3800,4000,工艺点位,,545,470,,,mm,
9,新亚强硅化学股份有限公司（二厂）,q0083,罐组3（二厂区）,q0083b0014,罐组3,q0083w0014,罐区工艺3,q0083s0007,待精馏高沸,q0083p0009,0,4700,0,500,3800,4000,工艺点位,,765,470,,,mm,
10,新亚强硅化学股份有限公司（二厂）,q0083,罐组3（二厂区）,q0083b0014,罐组3,q0083w0014,罐区工艺3,q0083s0007,待精馏高沸,q0083p0010,0,4700,0,500,3800,4000,工艺点位,,972,470,,,mm,
11,新亚强硅化学股份有限公司（二厂）,q0083,罐组3（二厂区）,q0083b0014,罐组3,q0083w0014,罐区工艺3,q0083s0007,待精馏高沸,q0083p0011,0,4700,0,500,3800,4000,工艺点位,,1180,470,,,mm,
12,新亚强硅化学股份有限公司（二厂）,q0083,罐组3（二厂区）,q0083b0014,罐组3,q0083w0014,罐区工艺3,q0083s0007,待精馏高沸,q0083p0012,0,4700,0,500,3800,4000,工艺点位,,1390,470,,,mm,
13,新亚强硅化学股份有限公司（二厂）,q0083,罐组2（二厂区）,q0083b0013,罐组2,q0083w0013,罐区工艺2,q0083s0006,V1002A氯苯罐液位(雷达),q0083p0013,0,4700,0,500,3800,4000,工艺点位,,324,480,,,mm,
14,新亚强硅化学股份有限公司（二厂）,q0083,罐组2（二厂区）,q0083b0013,罐组2,q0083w0013,罐区工艺2,q0083s0006,V1002B氯苯罐液位(雷达),q0083p0014,0,4700,0,500,3800,4000,工艺点位,,535,530,,,mm,
15,新亚强硅化学股份有限公司（二厂）,q0083,罐组2（二厂区）,q0083b0013,罐组2,q0083w0013,罐区工艺2,q0083s0006,V1003A含苯低沸物液位(雷达),q0083p0015,0,4700,0,500,3800,4000,工艺点位,,752,480,,,mm,
16,新亚强硅化学股份有限公司（二厂）,q0083,罐组2（二厂区）,q0083b0013,罐组2,q0083w0013,罐区工艺2,q0083s0006,V1005A待脱高料液位(雷达),q0083p0016,0,4700,0,500,3800,4000,工艺点位,,960,480,,,mm,
17,新亚强硅化学股份有限公司（二厂）,q0083,罐组2（二厂区）,q0083b0013,罐组2,q0083w0013,罐区工艺2,q0083s0006,V1004A粗产品储罐液位(顶装),q0083p0017,0,4700,0,500,3800,4000,工艺点位,,1175,480,,,mm,
18,新亚强硅化学股份有限公司（二厂）,q0083,罐组2（二厂区）,q0083b0013,罐组2,q0083w0013,罐区工艺2,q0083s0006,V1004B粗产品储罐液位(顶装),q0083p0018,0,4700,0,500,3800,4000,工艺点位,,1382,480,,,mm,
19,新亚强硅化学股份有限公司（二厂）,q0083,罐组4（二厂区）,q0083b0015,罐组4,q0083w0015,罐区工艺4,q0083s0008,V1002C液位(雷达) 含苯低沸物,q0083p0019,0,4700,0,500,3800,4000,工艺点位,,362,650,,,mm,
20,新亚强硅化学股份有限公司（二厂）,q0083,罐组4（二厂区）,q0083b0015,罐组4,q0083w0015,罐区工艺4,q0083s0008,V1002D液位(雷达) 含苯低沸物,q0083p0020,0,4700,0,500,3800,4000,工艺点位,,574,600,,,mm,
21,新亚强硅化学股份有限公司（二厂）,q0083,罐组4（二厂区）,q0083b0015,罐组4,q0083w0015,罐区工艺4,q0083s0008,V1003B液位(雷达) 低沸物,q0083p0021,0,4700,0,500,3800,4000,工艺点位,,785,650,,,mm,
22,新亚强硅化学股份有限公司（二厂）,q0083,罐组4（二厂区）,q0083b0015,罐组4,q0083w0015,罐区工艺4,q0083s0008,V1005B液位(雷达) 二苯馏分,q0083p0022,0,4700,0,500,3800,4000,工艺点位,,1000,650,,,mm,
23,新亚强硅化学股份有限公司（二厂）,q0083,罐组4（二厂区）,q0083b0015,罐组4,q0083w0015,罐区工艺4,q0083s0008,V1004C液位(雷达) 二苯馏分,q0083p0023,0,4700,0,500,3800,4000,工艺点位,,1208,600,,,mm,
24,新亚强硅化学股份有限公司（二厂）,q0083,罐组4（二厂区）,q0083b0015,罐组4,q0083w0015,罐区工艺4,q0083s0008,V1004D液位(雷达) 含苯低沸物,q0083p0024,0,4700,0,500,3800,4000,工艺点位,,1415,650,,,mm,
25,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1024罐温度 二次低沸物,q0083p0025,-20,100,-20,-10,70,80,工艺点位,,977,180,,,℃,
26,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1023罐温度 含苯低沸物,q0083p0026,-20,100,-20,-10,70,80,工艺点位,,826,180,,,℃,
27,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1022罐温度 三甲基氯硅烷,q0083p0027,-20,100,-20,-10,70,80,工艺点位,,680,330,,,℃,
28,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1021罐温度 三甲基氯硅烷,q0083p0028,-20,100,-20,-10,70,80,工艺点位,,540,180,,,℃,
29,新亚强硅化学股份有限公司（二厂）,q0083,罐组2（二厂区）,q0083b0013,罐组2,q0083w0013,罐区工艺2,q0083s0006,1002a氯苯储罐温度 ,q0083p0029,-20,100,-20,-10,70,80,工艺点位,,324,630,,,℃,
30,新亚强硅化学股份有限公司（二厂）,q0083,罐组2（二厂区）,q0083b0013,罐组2,q0083w0013,罐区工艺2,q0083s0006,1002b氯苯储罐温度 ,q0083p0030,-20,100,-20,-10,70,80,工艺点位,,535,630,,,℃,
31,新亚强硅化学股份有限公司（二厂）,q0083,罐组2（二厂区）,q0083b0013,罐组2,q0083w0013,罐区工艺2,q0083s0006,1005a事故储罐温度 ,q0083p0031,-20,100,-20,-10,70,80,工艺点位,,960,630,,,℃,
32,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1028罐温度 硅醚,q0083p0032,-20,100,-20,-10,70,80,工艺点位,,988,600,,,℃,
33,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1027罐温度 硅氮,q0083p0033,-20,100,-20,-10,70,80,工艺点位,,842,550,,,℃,
34,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1026罐温度 硅氮,q0083p0034,-20,100,-20,-10,70,80,工艺点位,,695,600,,,℃,
35,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1025罐温度 氯苯,q0083p0035,-20,100,-20,-10,70,80,工艺点位,,542,550,,,℃,
36,新亚强硅化学股份有限公司（二厂）,q0083,罐组4（二厂区）,q0083b0015,罐组4,q0083w0015,罐区工艺4,q0083s0008,1002c氯苯储罐温度 ,q0083p0036,-20,100,-20,-10,70,80,工艺点位,,362,600,,,℃,
37,新亚强硅化学股份有限公司（二厂）,q0083,罐组4（二厂区）,q0083b0015,罐组4,q0083w0015,罐区工艺4,q0083s0008,1002d氯苯储罐温度 ,q0083p0037,-20,100,-20,-10,70,80,工艺点位,,574,650,,,℃,
